category,uid,mx,my,sx,sy,syx,sxy,b,corners
7,118,279.6003785749,226.47023770581131,5.25167372621096,4.078397133282476,0.0,0.0,2.0,"[272, 223, 278, 235, 287, 231, 282, 219]"
7,119,323.6003785749,227.47023770581131,5.212636640534295,4.117434218959142,0.0,0.0,2.0,"[322, 222, 318, 230, 326, 234, 330, 226]"
7,129,111.60037857489998,52.47023770581131,5.428937727092514,3.9011331324009237,0.0,0.0,2.0,"[109, 47, 107, 57, 115, 58, 117, 48]"
7,135,43.60037857489997,59.47023770581131,5.223291608232736,4.1067792512607,0.0,0.0,2.0,"[35, 56, 41, 69, 52, 64, 47, 51]"
7,136,9.600378574899972,21.470237705811304,5.4794588920778855,3.8506119674155515,0.0,0.0,2.0,"[3, 28, 16, 29, 17, 17, 4, 16]"
7,137,41.60037857489997,41.47023770581131,5.488664906217982,3.8414059532754545,0.0,0.0,2.0,"[37, 49, 47, 50, 48, 36, 38, 35]"
7,147,286.6003785749,28.470237705811304,3.8427634776422304,5.487307381851207,0.0,0.0,2.0,"[282, 37, 291, 37, 292, 21, 283, 21]"
7,155,106.60037857489998,260.4702377058113,5.408377517218433,3.9216933422750033,0.0,0.0,2.0,"[101, 255, 99, 264, 114, 267, 116, 258]"
7,158,12.600378574899972,145.47023770581131,5.4738304976006225,3.856240361892815,0.0,0.0,2.0,"[8, 150, 17, 151, 17, 143, 9, 142]"
8,97,450.20033364425353,229.30418889707826,7.186079003534193,21.999609450177598,0.0,0.0,2.0,"[459, 198, 441, 199, 444, 255, 461, 255]"
8,98,390.20033364425353,226.30418889707826,7.189085819854476,21.996602633857314,0.0,0.0,2.0,"[398, 185, 381, 185, 384, 264, 401, 263]"
8,99,420.20033364425353,260.3041888970783,7.153203434370055,22.03248501934173,0.0,0.0,2.0,"[412, 267, 431, 267, 431, 248, 412, 248]"
9,93,370.0145404399008,90.78101781015681,4.707457236282937,11.545202453078868,0.0,0.0,2.0,"[365, 102, 375, 103, 376, 77, 366, 77]"
9,100,507.0145404399008,229.7810178101568,4.694699431260724,11.557960258101081,0.0,0.0,2.0,"[502, 212, 501, 245, 515, 246, 515, 212]"
9,101,510.0145404399008,191.7810178101568,4.720377484128392,11.532282205233413,0.0,0.0,2.0,"[505, 167, 502, 215, 516, 216, 519, 168]"
9,102,509.0145404399008,259.7810178101568,4.711584193757107,11.541075495604698,0.0,0.0,2.0,"[502, 269, 518, 270, 519, 249, 503, 249]"
9,103,509.0145404399008,210.7810178101568,4.842347639947751,11.410312049414053,0.0,0.0,2.0,"[500, 228, 514, 230, 520, 192, 506, 190]"
