category,uid,mx,my,sx,sy,b,corners
7,23,434.6003785749,10.470237705811304,5.494279767688269,3.8357910918051683,2.0,"[427, 7, 427, 16, 443, 16, 442, 7]"
7,29,10.600378574899972,26.470237705811304,3.835373720594931,5.494697138898505,2.0,"[15, 19, 6, 19, 6, 34, 15, 34]"
7,30,43.60037857489997,61.47023770581131,3.8360203833045725,5.494050476188863,2.0,"[39, 54, 39, 70, 50, 70, 49, 53]"
7,40,162.60037857489996,14.470237705811304,5.4947119380444605,3.8353589214489756,2.0,"[155, 10, 155, 20, 170, 20, 170, 10]"
7,41,112.60037857489998,58.47023770581131,5.493776054017839,3.8362948054755988,2.0,"[110, 53, 110, 65, 116, 65, 115, 53]"
7,47,288.6003785749,27.470237705811304,3.8353573775340055,5.494713481959431,2.0,"[284, 20, 284, 36, 293, 36, 293, 20]"
7,64,324.6003785749,228.47023770581131,5.494631535530918,3.835439323962519,2.0,"[320, 226, 320, 233, 330, 233, 330, 226]"
7,86,107.60037857489998,258.4702377058113,5.473291592742718,3.856779266750718,2.0,"[100, 263, 116, 265, 117, 256, 101, 254]"
8,0,391.20033364425353,231.30418889707826,7.177018234836025,22.00867021887576,2.0,"[399, 190, 382, 190, 385, 269, 402, 268]"
8,1,448.20033364425353,226.30418889707826,7.157560574476268,22.02812787923552,2.0,"[440, 195, 441, 253, 458, 252, 457, 195]"
8,2,422.20033364425353,261.3041888970783,22.032779109063917,7.152909344647871,2.0,"[432, 250, 414, 250, 414, 268, 432, 268]"
9,4,512.0145391620396,257.78088893323087,4.699593411664059,11.553110905105479,2.0,"[506, 245, 506, 269, 519, 268, 519, 245]"
9,8,512.0145391620396,227.78088893323084,4.696598963439962,11.556105353329576,2.0,"[506, 211, 506, 244, 519, 244, 519, 211]"
9,9,510.0145391620395,187.78088893323084,4.696712640320099,11.55599167644944,2.0,"[504, 163, 505, 211, 519, 211, 518, 163]"
9,10,510.0145391620395,188.78088893323084,4.696415047791377,11.556289268978162,2.0,"[504, 164, 505, 211, 518, 211, 517, 164]"
9,11,511.0145391620395,228.78088893323084,4.700185549827092,11.552518766942447,2.0,"[505, 212, 506, 245, 519, 245, 518, 211]"
9,19,372.0145391620395,92.78088893323086,4.696642247635141,11.556062069134397,2.0,"[367, 79, 368, 105, 378, 105, 378, 79]"
9,24,94.01453916203953,102.78088893323086,11.557901485637645,4.694802831131896,2.0,"[85, 97, 85, 108, 105, 108, 105, 97]"
9,27,90.01453916203953,14.780888933230855,11.557284379873757,4.695419936895782,2.0,"[76, 18, 105, 19, 106, 9, 76, 9]"
9,31,74.01453916203953,102.78088893323086,11.55704567847765,4.6956586382918895,2.0,"[85, 96, 65, 97, 65, 108, 85, 108]"
9,32,54.01453916203953,103.78088893323086,11.556848545836132,4.695855770933408,2.0,"[46, 97, 46, 109, 64, 108, 64, 97]"
9,33,34.01453916203953,103.78088893323086,11.558007606593968,4.694696710175569,2.0,"[26, 98, 26, 109, 45, 109, 45, 98]"
9,34,15.01453916203953,104.78088893323086,11.556623440406122,4.696080876363413,2.0,"[26, 98, 6, 98, 6, 109, 26, 109]"
9,38,112.01453916203953,53.780888933230855,4.69866121421308,11.554043102556461,2.0,"[109, 40, 110, 66, 118, 65, 117, 40]"
9,42,112.01453916203953,25.780888933230855,4.694703780415258,11.55800053635428,2.0,"[117, 10, 109, 10, 109, 39, 117, 39]"
9,45,269.0145391620395,99.78088893323086,11.558029371478003,4.694674945291533,2.0,"[294, 94, 246, 94, 246, 103, 294, 103]"
9,49,221.01453916203954,99.78088893323086,11.55808228766218,4.694622029107359,2.0,"[198, 95, 198, 104, 246, 104, 246, 94]"
9,52,164.01453916203954,177.78088893323084,4.694996445595928,11.557707871173612,2.0,"[157, 167, 157, 186, 173, 186, 173, 167]"
9,54,164.01453916203954,196.78088893323084,4.694642794981496,11.558061521788042,2.0,"[157, 187, 157, 206, 174, 206, 173, 186]"
9,58,364.0145391620395,170.78088893323084,11.558090078013459,4.694614238756082,2.0,"[379, 164, 351, 164, 351, 175, 379, 175]"
9,65,335.0145391620395,170.78088893323084,11.555727829097188,4.696976487672349,2.0,"[323, 164, 323, 175, 349, 175, 349, 164]"
9,66,308.0145391620395,170.78088893323084,11.558195654859894,4.694508661909646,2.0,"[296, 165, 296, 176, 322, 175, 322, 165]"
9,69,359.0145391620395,93.78088893323086,4.695074181786146,11.557630134983395,2.0,"[355, 80, 355, 105, 364, 105, 364, 80]"
9,75,20.01453916203953,269.78088893323087,11.558110400687783,4.694593916081753,2.0,"[6, 273, 35, 273, 35, 264, 6, 264]"
9,80,152.01453916203954,179.78088893323084,4.694530351118946,11.558173965650594,2.0,"[149, 192, 158, 192, 158, 167, 149, 167]"
11,12,450.16397419074934,108.621723909018,1.895822530680134,2.198324276639695,2.0,"[448, 106, 448, 111, 452, 111, 452, 106]"
11,88,167.16397419074934,155.621723909018,2.1982860534257704,1.895860753894059,2.0,"[164, 154, 164, 157, 170, 157, 169, 154]"
13,36,156.28780829766546,61.39289256890205,20.388256393723246,5.41986453921209,2.0,"[131, 51, 131, 59, 172, 59, 172, 51]"
